symbol,mean,stdev,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105
PIDILITIND,4.78,15.01,-398.17,-16.4,-10.27,-6.06,-3.58,-1.53,0.13,1.64,3.04,4.48,5.85,7.26,8.58,9.77,11.18,12.52,14.01,15.96,17.86,21.37,81.42
SKFINDIA,3.43,15.05,-82.31,-23.17,-13.81,-9.15,-6.21,-4.16,-2.23,-0.75,0.81,2.17,3.68,5.46,7.16,9.09,11.28,13.35,15.57,17.98,21.25,25.38,47.24
NAVNETEDUL,1.36,15.14,-100.6,-21.81,-15.64,-11.84,-8.44,-5.84,-3.83,-2.12,-0.73,0.71,1.88,3.51,4.95,6.45,7.99,9.81,11.91,14.88,19.06,25.22,47.83
GODREJAGRO,-0.19,15.14,-101.61,-22.74,-13.74,-10.87,-7.85,-5.98,-4.55,-3.02,-1.5,-0.02,1.81,3.16,4.14,5.32,6.93,8.85,10.92,12.87,15.66,19.35,25.44
SWANENERGY,-0.02,15.16,-63.2,-21.07,-12.99,-9.87,-8.19,-7,-5.75,-4.7,-3.72,-2.86,-1.79,-0.42,0.66,2.38,4.52,6.46,8.68,12.36,16.92,26.12,64.78
LTTS,5.35,15.16,-62.6,-14.69,-8.94,-6.75,-5.31,-3.21,-1.63,-0.06,1.74,3.34,5.33,7.72,9.29,10.7,12.37,14.2,17.3,21.44,25.05,28.94,37.94
VGUARD,4.21,15.24,-51.97,-19.79,-13.09,-9.84,-7.57,-5.41,-3.88,-2.07,-0.45,1.28,3.07,5.01,7.22,9.29,11.98,14.62,16.96,19.84,23.22,30.33,48.24
CUMMINSIND,2.26,15.31,-106.79,-23.77,-16.19,-12.01,-9.09,-6.52,-4.21,-2.51,-0.44,1.92,3.51,4.99,6.65,8.93,10.98,12.98,14.84,17.11,20.45,24.3,46.44
RELIANCE,2.65,15.32,-123.31,-20.33,-13.22,-9.55,-7.02,-5,-3.19,-1.64,0.08,1.58,3.15,4.81,6.44,7.92,9.81,11.86,13.94,16.65,19.67,25.21,62.41
JUBLFOOD,3.91,15.35,-53.22,-22.62,-17.3,-12.99,-9.17,-6.12,-3.04,-0.97,1.29,3.93,6.14,7.83,9.61,11.15,12.7,14.43,16.38,18.72,22.3,26.38,43.6
AMBUJACEM,2.09,15.35,-520.41,-21.75,-14.18,-9.94,-7.16,-4.63,-2.84,-1.01,0.63,2.34,3.8,5.13,6.71,8.31,9.96,11.65,13.22,14.76,16.79,20.04,87.58
METROPOLIS,7.06,15.37,-58.1,-29.91,-8.46,-3.06,0.13,2.19,4.03,5.69,7.09,8.74,9.81,11.43,13.07,14.18,15.74,16.88,17.9,19.37,21.51,24.01,30.01
SIS,-0.15,15.56,-66.25,-28.5,-20.11,-15.18,-11.03,-8.51,-6.27,-4.17,-1.94,-0.33,1.75,3.13,4.51,6.12,7.89,9.11,10.85,13.1,17.59,23.87,38.85
TATACONSUM,1.46,15.61,-69.65,-26.32,-18.03,-13.26,-10.42,-7.6,-5.2,-3.16,-1.22,0.83,2.82,4.83,6.44,8.2,9.93,11.8,13.9,16.47,19.88,25.42,46.95
JBCHEPHARM,3.04,15.61,-139.2,-21.8,-15.31,-11.09,-8.19,-5.77,-3.67,-1.87,-0.05,1.7,3.61,5.56,7.6,9.61,11.6,13.55,15.77,18.6,22.01,26.43,36.71
EMAMILTD,2.05,15.68,-127.63,-23.94,-17.01,-12.5,-9.1,-6.34,-3.99,-1.8,0.45,2.2,3.62,5.32,6.82,8.36,10.01,11.75,13.84,15.83,18.63,23.61,46.13
TCIEXP,5.3,15.74,-61.65,-19.88,-12.32,-8.91,-6.89,-4.04,-1.05,0.9,2.5,4.07,6.2,7.89,9.9,11.68,13.47,15.05,16.82,18.74,23.5,31.67,43.07
RELAXO,6.52,15.86,-88.89,-20.05,-11.18,-7.05,-4.05,-0.99,1.05,2.55,4.2,6.01,7.77,9.89,11.88,13.42,15.33,17.28,19.18,21.31,24.17,27.59,40.72
PETRONET,2.26,15.87,-89.83,-21.69,-13.07,-9.15,-6.75,-4.9,-3.38,-1.7,0.06,1.51,3.12,4.64,6.07,7.68,9.08,10.73,12.8,15.48,19.12,25,50.45
BLUEDART,3.05,15.88,-76.67,-23.84,-17.4,-13.3,-8.98,-6.41,-4.28,-2.45,-0.74,1.1,3.07,5.07,8.02,10.41,12.43,14.45,16.54,19.39,22.41,27.35,43.85
POLYMED,5.01,15.96,-67.54,-19.8,-12.72,-9.57,-7.13,-4.7,-2.83,-1.04,0.8,2.42,4.26,6.11,8.01,10.05,12.11,14.71,17.91,21.97,26.85,31.39,48.9
GODREJPROP,2.35,15.96,-82.16,-20.89,-15.83,-12.07,-9.53,-6.83,-4.7,-2.51,-0.55,1.68,3.79,5.37,6.83,8.73,10.77,12.78,15.04,17.27,20.9,26.76,39.15
ORIENTHOT,0.78,15.97,-133.12,-22.55,-15.94,-12.05,-9.38,-7.24,-5.5,-3.63,-2.17,-0.56,0.9,2.67,4.31,5.98,7.81,9.9,11.98,15,19.13,24.95,47.67
